NOMBRE,Slope
P12Q5,29.64145
P4Q3,21.30364
PR17Q1,31.29884
P12Q6,23.66002
P4Q4,16.60535
PR17Q2,28.25184
PR18Q4,22.41317
P12Q7,23.13916
PR17Q3,31.80959
PR18Q5,33.48799
PR17Q4,25.98298
PR18Q6,24.84428
P12Q1,21.88750
PR18Q7,20.77496
P12Q2,26.91578
NP13Q5,4.19623
P12Q3,22.80625
PR18Q1,15.92186
NP13Q6,7.00261
PR18Q2,19.26535
NP13Q7,8.39760
PR18Q3,29.41033
NP13Q8,18.26796
NP13Q1,6.75853
NP13Q2,7.26292
PR15Q7,25.09244
NP13Q3,21.90293
PR15Q8,25.34467
NP13Q4,13.58083
PR15Q3,30.14411
PR15Q4,34.68411
PR15Q5,26.95376
PR15Q6,28.11761
PR15Q1,34.27146
PR15Q2,26.77098
NP7Q8,24.68117
NP7Q4,16.00978
NP7Q5,14.42579
NP8Q7,9.69958
NP7Q6,4.41814
NP8Q8,9.98621
NP7Q7,17.12441
NP7Q1,12.26783
NP8Q3,5.14943
NP7Q2,16.54607
NP8Q4,19.22652
NP7Q3,9.60659
NP8Q5,15.55880
NP8Q6,16.77761
P14Q6,18.67039
P14Q7,24.36948
NP8Q1,21.20593
P14Q8,25.05923
NP8Q2,12.75371
P14Q2,21.99804
P14Q3,23.67840
P14Q4,23.49466
P14Q5,22.75441
P14Q1,23.39887
PR16Q6,12.36696
PR16Q7,11.72359
PR16Q8,14.41119
P11Q5,12.54547
P11Q6,15.24008
PR16Q2,17.19698
P11Q7,30.55269
PR16Q3,14.42968
P11Q8,22.27713
PR16Q4,16.40337
P11Q1,24.39389
PR16Q5,4.84980
P11Q2,19.57165
P11Q3,24.43191
P11Q4,25.13164
PR16Q1,10.39454
NP9Q6,28.09895
NP9Q7,30.82529
NP9Q8,17.61160
NP9Q2,3.33678
NP9Q3,15.68623
NP9Q4,13.45387
P4Q5,19.11492
NP9Q5,19.25106
P12Q8,24.58791
P4Q6,19.62020
P4Q7,15.81243
PR17Q5,34.77873
P4Q8,16.39336
PR17Q6,30.85988
PR18Q8,27.15471
P4Q1,20.70409
PR17Q7,30.41705
NP9Q1,6.84236
P12Q4,28.19897
P4Q2,21.12263
PR17Q8,40.51976
